frame_nmr,car_id,car_bbox,car_class,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
249,15,770.9791870117188 222.63467407226562 1026.594970703125 537.3286743164062,car,862.2870483398438 466.8196105957031 919.2161254882812 488.1581726074219,0.7405781149864197,BCESVSJ,0.24996944294916376
250,15,770.8983764648438 224.15211486816406 1026.969970703125 538.9200439453125,car,863.9901123046875 469.73876953125 920.1309814453125 489.9154052734375,0.6058825850486755,'0EESVJJ,0.06426502654812773
251,15,770.7490234375 225.17996215820312 1027.4344482421875 539.3698120117188,car,860.8963623046875 470.84844970703125 920.3973388671875 490.8572998046875,0.5995384454727173,'ECESVSJ,0.43920812402704185
252,15,770.8094482421875 226.2988739013672 1028.13720703125 539.812255859375,car,864.049560546875 473.2911376953125 920.2109375 493.6888427734375,0.5227444171905518,OO65VSJ,0.10849834183247441
253,15,770.771240234375 227.25521850585938 1028.9150390625 539.9518432617188,car,863.9610595703125 475.1210632324219 920.3363037109375 495.3231506347656,0.6480582356452942,BGESVSJ,0.3470469253245356
254,15,770.5248413085938 228.11611938476562 1029.6514892578125 540.2815551757812,car,864.473876953125 476.3280944824219 922.083740234375 497.0567321777344,0.7484751343727112,BG55USJ,0.06643631121488536
255,15,770.866455078125 229.48193359375 1030.716796875 540.5010375976562,car,863.5537109375 478.74847412109375 922.126708984375 499.2364501953125,0.8380382061004639,BGEB5J,0.15363022754269995
256,15,771.0812377929688 230.63424682617188 1031.627685546875 540.8391723632812,car,864.3253173828125 482.0888671875 922.0406494140625 503.23846435546875,0.47109395265579224,BGESU5J,0.4054283174946612
257,15,770.74267578125 231.39462280273438 1032.26611328125 539.8532104492188,car,863.4808349609375 483.06390380859375 921.2711181640625 504.65948486328125,0.7997890114784241,BG65USJ,0.2703487463169646
258,15,771.1363525390625 232.83648681640625 1033.3994140625 539.729736328125,car,861.5269165039062 485.775390625 921.3305053710938 506.48187255859375,0.7734857797622681,1BG6SVSJ,0.1925354826738384
259,15,771.667724609375 234.70376586914062 1034.014892578125 539.3240966796875,car,859.30615234375 487.9904479980469 921.873046875 508.265625,0.5325705409049988,IB66SWS,0.22156111850005716
260,15,772.333251953125 235.13711547851562 1034.3665771484375 538.9483642578125,car,864.6903076171875 489.26519775390625 921.881103515625 509.15191650390625,0.47779756784439087,BGESVSJ,0.6727056045094006
261,15,772.0303344726562 236.43836975097656 1035.166748046875 538.8849487304688,car,864.0253295898438 491.40179443359375 922.9656372070312 511.89337158203125,0.7787777781486511,1EG65U5J,0.13703423761758726
262,15,772.2001953125 237.51620483398438 1036.415771484375 538.8304443359375,car,864.7012329101562 494.6307373046875 924.4651489257812 514.6451416015625,0.8368555307388306,BGBSUEJ,0.20327071865247975
263,15,771.9703369140625 238.08026123046875 1037.041015625 538.4560546875,car,865.3282470703125 496.934814453125 924.220947265625 516.638671875,0.7076092958450317,BGESVBJ,0.13821708569939892
264,15,771.849609375 239.231201171875 1037.7296142578125 538.3740844726562,truck,863.201416015625 498.19598388671875 924.923095703125 519.8685913085938,0.7023805379867554,"BGESUSJ,0.30298853727811964
265,15,[772.3723754882812 240.51318359375 1038.138427734375 539.1928100585938],car,[863.7503051757812 501.24688720703125 925.6863403320312 521.3003540039062],0.37142080068588257,EG65USJ,0.09270715123163897
266,15,[772.714599609375 241.3195037841797 1038.0157470703125 539.1182250976562],car,[863.83203125 502.5645751953125 925.2593994140625 522.910400390625],0.7053852081298828,9GESUSJ,0.14858522193658502
267,15,[773.15771484375 242.61106872558594 1038.77001953125 539.6103515625],car,[865.536865234375 504.9051513671875 924.9390869140625 525.6768798828125],0.75897216796875,006SWS_,0.011460773433080412
268,15,[773.41650390625 244.89317321777344 1040.193115234375 539.9581298828125],car,[865.4505004882812 506.92059326171875 925.2885131835938 528.3656616210938],0.8102231621742249,8O6BU5),0.04083765610733908
269,15,[773.3934936523438 246.110595703125 1040.7918701171875 539.8732299804688],car,[865.3966064453125 508.46710205078125 925.8538818359375 529.3872680664062],0.6197848320007324,BGBSVSJ,0.11850549396475445
270,15,[773.420166015625 248.08119201660156 1041.9261474609375 540.1340942382812],car,[865.9166870117188 511.07550048828125 926.1862182617188 531.8533325195312],0.5908368825912476,OG65USJ,0.06677513069199627
271,15,[772.6954345703125 249.6509552001953 1042.7191162109375 539.9259033203125],car,[865.6610107421875 514.0313110351562 928.0001220703125 535.2256469726562],0.5001370906829834,DG65WSJ,0.1946833066727978
272,15,[772.980712890625 251.68319702148438 1042.9393310546875 539.5174560546875],car,[865.9373168945312 515.3876342773438 927.9966430664062 536.8086547851562],0.4253567159175873,0G6SU5],0.1194683496251099
325,9,[344.2486267089844 296.95367431640625 551.62646484375 475.64605712890625],car,[432.8231201171875 411.288818359375 472.2227783203125 429.7960205078125],0.40431520342826843,EIDHM,0.016219921160915838
326,9,[343.49298095703125 297.3123779296875 551.1622314453125 476.2908630371094],car,[431.68804931640625 411.3213195800781 471.86480712890625 430.1145324707031],0.36516478657722473,[IDHV,0.051256070818582855
327,9,[342.53546142578125 298.1686096191406 550.075439453125 477.2994079589844],car,[428.9444274902344 412.0228271484375 471.4242858886719 432.2906494140625],0.3607511520385742,164DHV,0.2841136947272191
337,9,[335.55572509765625 306.55364990234375 546.160888671875 491.6045227050781],car,[414.94659423828125 424.278564453125 461.80120849609375 444.8929443359375],0.36678534746170044,IKE4DMV,0.09797723951735557
338,9,[334.0429382324219 307.5012512207031 545.9810791015625 492.6024169921875],car,[410.2151794433594 424.6595458984375 462.1612243652344 445.62884521484375],0.5964601635932922,4KEQMHV,0.0495039138211159
339,9,[332.55682373046875 309.2364196777344 545.6184692382812 493.9648132324219],car,[410.99114990234375 425.89691162109375 461.62005615234375 446.6416015625],0.4490812122821808,4KE4@MV,0.21353964987325513
340,9,[331.4140625 311.16943359375 545.0809936523438 496.2978210449219],car,[408.5331726074219 427.34881591796875 460.9299621582031 448.49774169921875],0.6615785360336304,DHV,0.6413875196107016
341,9,[330.5990905761719 311.8390808105469 544.6870727539062 497.3392639160156],car,[409.06878662109375 427.75445556640625 462.00335693359375 450.64263916015625],0.4843326210975647,AKE4@HM,0.28780842610235285
344,9,[328.4952087402344 313.44232177734375 543.545166015625 500.502685546875],car,[404.77801513671875 432.35113525390625 462.43206787109375 452.61859130859375],0.30182814598083496,MREJHM,0.07077202685287842
348,9,[323.4925231933594 317.69598388671875 540.3319702148438 507.7049865722656],car,[402.1512451171875 438.4189453125 457.07568359375 459.285888671875],0.3086879849433899,4K64M,0.341801688970144
349,9,[321.7425231933594 319.430908203125 538.0907592773438 508.906494140625],car,[404.52337646484375 440.80584716796875 457.80657958984375 460.87530517578125],0.264164000749588,IBJDHV,0.04306641218379754
351,9,[319.3630065917969 322.0382385253906 534.6365966796875 510.8287658691406],car,[399.95782470703125 443.4808044433594 455.87322998046875 463.7406921386719],0.4281231462955475,4K64DH,0.12284470855128118
352,9,[318.34844970703125 322.9909362792969 532.0565185546875 512.3424072265625],car,[397.5307922363281 444.5994873046875 456.4374694824219 466.130859375],0.45594948530197144,AHEJN,0.17382641998736695
353,9,[317.8438720703125 323.4900817871094 530.6806030273438 513.6928100585938],car,[396.1298828125 445.07269287109375 457.766845703125 467.14764404296875],0.708880603313446,AK64@HV,0.24385194308606525
354,9,[316.66864013671875 324.9537048339844 529.9609985351562 515.300048828125],car,[394.5536193847656 447.42181396484375 457.4029846191406 468.22161865234375],0.6003693342208862,AK64WHV,0.10068621485344242
356,9,[314.6616516113281 326.3433837890625 529.0909423828125 518.6975708007812],car,[394.46380615234375 450.36328125 453.78399658203125 471.6065673828125],0.628076434135437,AK64DHV,0.15116120235688255
357,9,[313.8030090332031 328.029541015625 528.9176025390625 520.7314453125],car,[394.06365966796875 452.8015441894531 450.64691162109375 473.6647644042969],0.6998655200004578,AK64DHV,0.2920434599655139
358,9,[312.921875 329.52203369140625 527.5780639648438 523.3245239257812],car,[392.0848388671875 454.49688720703125 450.4537353515625 474.8109130859375],0.7242046594619751,AHEADHY,0.12029399214272939
359,9,[312.1502685546875 329.9241027832031 527.3336181640625 524.0496215820312],car,[392.5521545410156 454.801025390625 448.8308410644531 475.984375],0.7954286932945251,MKE4DHY,0.08857530707927964
360,9,[310.7071533203125 330.8876037597656 526.916015625 526.1920776367188],car,[392.165283203125 456.9836730957031 446.6588134765625 477.6842956542969],0.6262883543968201,AKE4MHI,0.1210148092807182
361,9,[309.7538757324219 332.3966979980469 525.8409423828125 528.7781982421875],car,[389.6844482421875 458.7635498046875 448.25592041015625 480.0533447265625],0.764342725276947,JKGA@MV,0.154481941471133
",
